




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.15066566 Released 2025-03-16
Analyzed List:	Client Text Box Input (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	Client Text Box Input (984)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cell communication (GO:0007154)	1682	87	60.24	+	1.44	5.37E-04	2.03E-02
cellular response to stimulus (GO:0051716)	2864	148	102.57	+	1.44	4.51E-06	3.56E-04
regulation of DNA-templated transcription (GO:0006355)	2046	105	73.28	+	1.43	1.96E-04	8.90E-03
regulation of RNA biosynthetic process (GO:2001141)	2048	105	73.35	+	1.43	1.98E-04	8.92E-03
regulation of RNA metabolic process (GO:0051252)	2150	106	77.00	+	1.38	8.53E-04	2.85E-02
transport (GO:0006810)	2137	105	76.54	+	1.37	1.03E-03	3.25E-02
metabolic process (GO:0008152)	7999	219	286.48	-	.76	9.30E-07	8.88E-05
primary metabolic process (GO:0044238)	6589	143	235.98	-	.61	1.21E-13	5.47E-11
phosphate-containing compound metabolic process (GO:0006796)	1201	21	43.01	-	.49	1.77E-04	8.22E-03
phosphorus metabolic process (GO:0006793)	1205	21	43.16	-	.49	1.78E-04	8.20E-03
protein modification process (GO:0036211)	1282	22	45.91	-	.48	7.83E-05	4.10E-03
macromolecule catabolic process (GO:0009057)	893	15	31.98	-	.47	9.18E-04	2.97E-02
cellular component organization (GO:0016043)	2495	41	89.36	-	.46	2.34E-09	3.98E-07
cellular component organization or biogenesis (GO:0071840)	2899	45	103.83	-	.43	8.92E-12	2.56E-09
macromolecule modification (GO:0043412)	1646	24	58.95	-	.41	1.55E-07	1.72E-05
macromolecule metabolic process (GO:0043170)	4802	70	171.98	-	.41	8.03E-22	1.46E-18
protein metabolic process (GO:0019538)	2606	34	93.33	-	.36	2.10E-13	7.63E-11
RNA metabolic process (GO:0016070)	1423	18	50.96	-	.35	6.58E-08	8.53E-06
RNA processing (GO:0006396)	823	10	29.48	-	.34	3.62E-05	2.27E-03
RNA biosynthetic process (GO:0032774)	1076	13	38.54	-	.34	2.12E-06	1.86E-04
nucleic acid biosynthetic process (GO:0141187)	1099	13	39.36	-	.33	1.16E-06	1.07E-04
cellular macromolecule localization (GO:0070727)	678	8	24.28	-	.33	2.09E-04	9.11E-03
gene expression (GO:0010467)	1883	22	67.44	-	.33	3.46E-11	8.56E-09
cellular component assembly (GO:0022607)	781	9	27.97	-	.32	3.45E-05	2.18E-03
macromolecule biosynthetic process (GO:0009059)	2273	26	81.41	-	.32	1.33E-13	5.16E-11
nucleic acid metabolic process (GO:0090304)	1856	21	66.47	-	.32	2.40E-11	6.21E-09
protein-containing complex organization (GO:0043933)	531	6	19.02	-	.32	8.34E-04	2.84E-02
cellular component biogenesis (GO:0044085)	1261	14	45.16	-	.31	4.03E-08	5.48E-06
nucleobase-containing compound metabolic process (GO:0006139)	2244	24	80.37	-	.30	2.29E-14	1.78E-11
nucleobase-containing compound biosynthetic process (GO:0034654)	1296	13	46.42	-	.28	5.67E-09	9.36E-07
cellular localization (GO:0051641)	942	8	33.74	-	.24	9.69E-08	1.15E-05
protein localization (GO:0008104)	647	5	23.17	-	.22	8.10E-06	5.95E-04
generation of precursor metabolites and energy (GO:0006091)	394	3	14.11	-	.21	8.45E-04	2.86E-02
protein transport (GO:0015031)	417	3	14.93	-	.20	2.89E-04	1.19E-02
organelle organization (GO:0006996)	1401	10	50.18	-	.20	2.67E-12	8.55E-10
DNA metabolic process (GO:0006259)	456	3	16.33	-	.18	1.05E-04	5.19E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	467	3	16.73	-	.18	7.42E-05	3.92E-03
modification-dependent protein catabolic process (GO:0019941)	481	3	17.23	-	.17	5.37E-05	3.11E-03
modification-dependent macromolecule catabolic process (GO:0043632)	484	3	17.33	-	.17	3.65E-05	2.26E-03
protein localization to organelle (GO:0033365)	332	2	11.89	-	.17	8.89E-04	2.95E-02
establishment of protein localization (GO:0045184)	505	3	18.09	-	.17	2.73E-05	1.86E-03
intracellular transport (GO:0046907)	528	3	18.91	-	.16	1.37E-05	9.68E-04
RNA modification (GO:0009451)	356	2	12.75	-	.16	4.46E-04	1.73E-02
vesicle-mediated transport (GO:0016192)	540	3	19.34	-	.16	6.31E-06	4.77E-04
proteolysis (GO:0006508)	739	4	26.47	-	.15	9.67E-08	1.17E-05
establishment of localization in cell (GO:0051649)	582	3	20.84	-	.14	2.30E-06	1.98E-04
proteolysis involved in protein catabolic process (GO:0051603)	586	3	20.99	-	.14	1.52E-06	1.36E-04
nucleobase-containing small molecule metabolic process (GO:0055086)	398	2	14.25	-	.14	1.06E-04	5.22E-03
organophosphate metabolic process (GO:0019637)	604	3	21.63	-	.14	1.12E-06	1.05E-04
protein catabolic process (GO:0030163)	607	3	21.74	-	.14	7.43E-07	7.22E-05
establishment of protein localization to organelle (GO:0072594)	271	1	9.71	-	.10	1.36E-03	4.08E-02
proteasomal protein catabolic process (GO:0010498)	280	1	10.03	-	.10	9.19E-04	2.96E-02
regulation of cellular component organization (GO:0051128)	283	1	10.14	-	.10	6.04E-04	2.21E-02
chromatin remodeling (GO:0006338)	310	1	11.10	-	.09	2.95E-04	1.20E-02
plastid organization (GO:0009657)	318	1	11.39	-	.09	2.00E-04	8.93E-03
chromatin organization (GO:0006325)	325	1	11.64	-	.09	2.14E-04	9.18E-03
ribosome biogenesis (GO:0042254)	325	1	11.64	-	.09	2.14E-04	9.11E-03
DNA repair (GO:0006281)	326	1	11.68	-	.09	1.37E-04	6.56E-03
nucleoside phosphate metabolic process (GO:0006753)	352	1	12.61	-	.08	6.60E-05	3.52E-03
organophosphate biosynthetic process (GO:0090407)	364	1	13.04	-	.08	4.58E-05	2.71E-03
DNA damage response (GO:0006974)	371	1	13.29	-	.08	3.09E-05	2.00E-03
cell cycle process (GO:0022402)	444	1	15.90	-	.06	3.49E-06	2.92E-04
cell cycle (GO:0007049)	490	1	17.55	-	.06	4.87E-07	5.00E-05
mitotic cell cycle (GO:0000278)	238	0	8.52	-	 < 0.01	3.08E-04	1.24E-02
nucleoside phosphate biosynthetic process (GO:1901293)	195	0	6.98	-	 < 0.01	1.48E-03	4.36E-02
Golgi vesicle transport (GO:0048193)	201	0	7.20	-	 < 0.01	1.60E-03	4.68E-02
